,country,driver,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023
594,Gabon,wildfire,135,40,1,1,41,23,26,169,6,48,45,0,21,22,15,2,4,0,0,36,0,8,9
595,Gambia,wildfire,0,3,0,3,0,1,7,11,3,9,3,2,1,0,2,2,1,3,3,1,0,1,1
596,Georgia,wildfire,35,54,0,457,25,32,282,307,111,69,158,19,12,21,1,54,25,69,2,1,4,1,4
597,Germany,wildfire,145,111,53,248,378,278,394,389,277,644,342,254,144,385,98,183,276,651,1628,1707,614,393,264
598,Ghana,wildfire,36,24,7,3,11,7,9,15,7,9,11,4,10,6,3,33,11,24,13,26,20,27,36
599,Greece,wildfire,6252,2174,1071,2277,1747,3760,38922,15896,3240,4214,2663,6607,3927,1157,1698,2991,4717,3630,4016,2637,45259,5499,5587
600,Guinea,wildfire,33,41,6,18,65,25,38,25,51,31,45,59,315,203,283,426,462,392,429,314,265,265,302
601,Guinea-Bissau,wildfire,28,187,6,72,57,58,164,99,392,235,113,217,1019,798,800,773,763,812,733,893,607,684,469
602,Guyana,wildfire,28,8,13,11,7,9,10,7,16,14,16,40,43,94,29,194,31,22,7,130,8,31,155
603,Honduras,wildfire,18,15,5,17,37,35,25,68,48,81,108,23,58,132,162,214,310,373,318,518,266,162,819
604,Hungary,wildfire,6,4,7,30,32,16,15,11,20,29,15,51,2,14,15,33,31,16,11,32,34,13,2
605,India,wildfire,353,430,373,617,707,773,1004,1170,1520,332,728,1288,790,1368,449,599,930,643,884,673,614,791,783
606,Ireland,wildfire,382,195,45,298,221,217,494,231,239,149,144,186,102,70,38,112,131,169,210,89,147,74,125
607,Italy,wildfire,1102,935,327,1151,850,862,1289,2748,1469,719,970,1854,1722,1546,894,1467,3281,2619,1304,901,3925,2000,1005
608,Japan,wildfire,54,36,28,107,92,30,78,117,82,57,163,62,47,42,28,82,131,200,137,127,67,19,5
609,Kazakhstan,wildfire,1046,545,1663,1978,414,1013,855,583,1498,306,169,232,100,2,0,81,9,4,2,8,1,59,2203
610,Kenya,wildfire,446,704,202,239,147,354,476,240,194,369,366,410,166,186,165,594,838,348,326,188,99,91,146
611,Kosovo,wildfire,92,5,4,26,16,31,91,46,17,6,36,110,10,15,10,29,6,4,7,35,7,5,17
612,Latvia,wildfire,0,4,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0
613,Lesotho,wildfire,0,1,1,0,0,1,0,1,0,0,0,0,0,2,0,5,1,1,3,10,5,1,1
614,Liberia,wildfire,44,98,150,36,26,110,64,97,565,44,122,251,536,468,804,482,825,870,607,594,324,334,565
615,Libya,wildfire,1,22,6,2,1,1,0,0,1,1,2,2,77,1,0,0,0,1,1,1,0,0,6
616,Lithuania,wildfire,3,7,2,8,5,1,5,5,6,9,6,4,3,2,5,6,16,6,12,9,6,10,1
617,Macao,wildfire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618,Macedonia,wildfire,479,108,102,474,118,241,1682,1088,1194,280,244,513,250,219,75,151,82,109,170,146,100,215,118
619,Madagascar,wildfire,365,243,378,297,334,279,1118,375,495,409,677,456,515,1409,889,1306,2306,1072,787,922,1615,1544,1595
620,Malawi,wildfire,21,22,38,39,52,18,74,66,19,16,28,28,48,34,60,109,99,42,58,129,86,101,204
621,Mali,wildfire,31,25,0,12,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
622,Mauritania,wildfire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623,Mexico,wildfire,1827,1993,1300,2295,2676,4350,3348,2690,5641,2488,5234,2730,2742,1300,759,1044,2430,4324,3103,2210,12029,5833,4244
624,Moldova,wildfire,4,8,2,7,2,7,9,2,5,3,10,82,6,14,18,26,40,18,31,42,45,39,32
625,Mongolia,wildfire,11212,14374,32722,48119,5478,10812,45047,49255,76760,6594,2511,32307,459,448,7100,3506,24132,9101,2399,290,117,77,741
626,Montenegro,wildfire,70,22,18,102,17,16,89,140,65,15,58,153,458,258,7,54,77,213,45,196,24,33,47
627,Morocco,wildfire,105,765,79,97,166,328,125,390,115,125,221,85,56,96,69,252,219,182,254,226,575,627,352
628,Mozambique,wildfire,46,130,56,87,113,86,55,268,247,147,125,87,94,74,59,67,220,58,375,184,168,94,74
629,Myanmar,wildfire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,Namibia,wildfire,207,22,89,28,7,1,15,1,8,1,10,4,0,0,0,0,0,0,1,0,0,0,0
631,Nepal,wildfire,22,9,41,111,82,63,59,177,467,125,38,118,9,8,0,1,340,38,16,17,31,7,7
632,Netherlands,wildfire,57,116,25,36,82,71,109,60,81,210,72,51,24,60,69,131,83,76,233,155,149,57,76
633,New Zealand,wildfire,532,237,244,377,733,662,929,1644,1229,1380,871,949,1631,4679,1236,2303,612,593,733,783,536,797,739
634,Nicaragua,wildfire,2,2,1,2,20,3,7,19,44,28,1,10,8,24,6,16,3,15,84,11,3,50,8
635,Niger,wildfire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
636,Nigeria,wildfire,31,41,13,4,15,32,28,29,12,10,23,9,6,51,27,28,69,35,128,25,36,33,49
637,North Korea,wildfire,453,348,577,949,926,611,356,2534,1392,1049,171,683,242,155,116,249,171,134,2229,317,127,74,51
638,Norway,wildfire,132,179,145,555,178,488,140,138,147,263,168,207,269,265,109,436,417,505,779,549,521,392,46
639,Pakistan,wildfire,2,30,44,268,277,279,252,153,213,326,48,8,0,0,0,0,0,0,1,0,0,0,0
640,Paraguay,wildfire,1218,1179,1389,842,1996,918,2481,2039,2053,2539,2956,2659,4694,3790,5127,7559,5833,1872,2252,3224,3666,2118,973
641,Peru,wildfire,307,363,390,452,479,308,424,383,445,346,348,718,656,719,437,623,1455,621,741,691,732,743,812
642,Poland,wildfire,36,45,52,47,117,51,70,67,86,138,76,67,37,81,56,115,116,97,82,108,105,86,48
643,Portugal,wildfire,2609,3744,1909,6052,2522,4574,2919,2916,5265,6418,2508,9245,6403,6823,4615,12396,19000,14156,3553,5559,4702,5949,3196
644,Romania,wildfire,319,365,194,790,330,250,385,289,310,258,407,481,314,359,152,287,206,210,172,398,181,229,148
645,Russia,wildfire,1101237,2062317,2384526,2514046,794061,1402428,1423685,2114363,1272637,967777,1805107,3965504,4037742,3543254,1539642,3833403,4010677,4474994,2642274,4385591,5492309,3147468,2122999
646,Senegal,wildfire,2,4,0,3,4,1,10,5,4,5,1,1,8,3,20,12,11,14,9,7,4,4,2
647,Serbia,wildfire,117,42,60,141,99,117,176,253,148,99,103,197,313,233,148,186,183,167,178,157,141,128,151
648,Sierra Leone,wildfire,98,188,120,10,27,198,43,37,294,52,192,59,899,929,1338,592,1270,959,1362,1092,487,599,463
649,Slovakia,wildfire,152,75,140,73,3407,559,322,574,449,591,404,110,59,222,36,127,139,163,72,47,14,5,9
650,Slovenia,wildfire,26,31,19,96,80,51,43,26,47,17,11,16,6,414,102,480,134,195,50,57,18,11,22
651,Somalia,wildfire,17,17,2,7,10,5,9,20,25,3,14,48,8,18,5,7,11,3,9,6,10,4,5
652,South Africa,wildfire,1701,1169,933,1520,1129,2679,1066,1535,1761,1112,1559,1563,1544,1836,3021,1635,1889,2881,4677,3351,1181,1816,1370
653,South Korea,wildfire,5,4,0,6,4,3,2,29,18,47,19,24,10,9,11,4,6,4,2,0,0,1,1
654,South Sudan,wildfire,1,7,0,10,47,8,0,10,5,0,2,3,11,1,0,0,0,4,0,0,0,0,0
655,Spain,wildfire,4197,5033,3003,9407,13042,11818,6518,3541,9977,7192,3290,21088,6933,7377,7842,12882,13645,13694,7875,10249,11412,19335,3598
656,Sri Lanka,wildfire,101,138,162,102,79,51,56,28,42,60,48,336,64,37,12,10,9,3,3,2,4,1,4
657,Sudan,wildfire,0,0,0,0,0,0,16,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
658,Suriname,wildfire,1,0,0,3,1,9,0,0,2,0,2,20,4,48,87,41,20,21,35,4,1,0,35
659,Swaziland,wildfire,1,1,1,6,0,4,0,2,0,2,11,1,1,8,1,0,63,0,10,0,4,1,1
660,Sweden,wildfire,818,1775,740,2369,1222,2678,984,2687,2184,2309,1274,2747,1762,1627,1621,2343,1793,3031,5051,1827,1315,1029,600
661,Switzerland,wildfire,7,5,7,20,16,17,20,21,22,15,10,13,8,7,4,21,14,20,46,29,43,12,16
662,Syria,wildfire,21,31,11,51,655,16,290,105,14,11,26,1867,332,170,140,133,234,30,43,629,1292,43,982
663,Taiwan,wildfire,6,81,15,0,2,4,10,6,15,2,0,1,1,0,1,3,1,1,0,2,0,0,0
664,Tanzania,wildfire,884,976,817,583,828,850,1028,1259,1691,1302,1194,961,1357,1410,1008,1022,2532,1533,1485,1955,1901,1753,2866
665,Togo,wildfire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666,Tunisia,wildfire,28,43,211,31,109,91,300,228,219,108,969,525,348,681,580,322,642,132,246,435,188,572,476
667,Turkey,wildfire,64,43,58,107,114,148,140,1420,1487,118,95,130,178,99,51,79,94,55,132,152,322,141,34
668,Uganda,wildfire,68,11,16,24,121,14,28,12,2,30,16,161,2,6,17,59,38,5,20,7,10,11,7
669,Ukraine,wildfire,659,945,2020,1487,927,1265,1302,1868,2199,1565,1467,1139,828,1084,2080,8011,2781,2605,881,7978,5851,1649,971
670,United Kingdom,wildfire,1198,1143,237,1082,845,1548,1236,1155,1951,1052,978,1613,1041,1420,1008,929,582,772,1066,673,723,654,129
671,United States,wildfire,210480,433760,331222,822960,882623,771609,470260,291750,240515,570750,236321,258955,341464,181632,820870,414751,369465,347519,554397,378656,336304,676313,158462
672,Uruguay,wildfire,51,38,28,53,118,142,138,133,378,679,371,185,126,142,83,374,435,75,28,77,116,38,281
673,Uzbekistan,wildfire,20,17,0,0,0,1,2,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
674,Venezuela,wildfire,968,1454,546,1175,1227,1249,522,1837,3385,811,881,1439,1108,1543,1051,3157,2430,1160,2440,2795,1208,1771,1447
675,Zambia,wildfire,87,43,121,115,233,133,216,256,189,178,39,82,30,51,32,107,35,65,16,31,32,32,28
676,Zimbabwe,wildfire,142,96,31,109,118,145,124,85,372,59,70,103,19,37,30,38,40,10,11,14,28,29,30
677,Global,commodity,3079843,3864099,3479093,5025405,4585281,4099296,4270307,4288092,4314720,4476160,4204060,5563957,3350798,4702558,4072348,6954392,5601576,4165857,4610308,4424561,4142858,4282221,4461756
678,Global,forestry,4962433,5069272,4346267,6620584,6317129,6342434,6813730,6632386,5881939,6377510,6179603,7358074,5568747,6717822,6196912,8613799,8997430,7588275,7836782,7719881,7480573,7052331,8052846
679,Global,shifting agriculture,2973177,3157830,2513566,2916232,3389560,3185704,3710399,3621419,4024295,4333848,3474874,4346121,4909360,6409814,4930807,8326823,8688689,6696498,6171301,6733920,5996186,6040812,6602627
680,Global,urbanization,134440,123231,104678,158950,155005,166268,161338,133741,105238,111383,101863,127678,106684,126605,107845,154905,187117,159565,145419,146124,142653,137447,123073
681,Global,wildfire,2078234,4132233,3961969,5071206,3555426,3753628,3330678,3832194,2556645,3140389,3516645,5964958,6595613,5681422,4270982,5550691,5826337,6082038,5347154,6702944,7444744,5247697,9004975
